1 fault -  fault sequence breaking logs
1998-03-07 06:01:00	2
1998-03-07 06:02:00	2
1998-03-07 06:03:00	2
1998-03-07 06:04:00	2
1998-03-07 06:05:00	3
1998-03-07 06:06:00	3
1998-03-07 06:07:00	3
1998-03-07 06:08:00	3
1998-03-07 06:09:00	3
1998-03-07 06:10:00	3
1998-03-07 06:11:00	2
1998-03-07 06:12:00	2
1998-03-07 06:13:00	2
1998-03-07 06:14:00	2
1998-03-07 06:15:00	4
1998-03-07 06:20:00	3
1998-03-07 06:25:00	3
1998-03-07 06:30:00	2
1998-03-07 06:40:00	2
1998-03-07 06:50:00	5
1998-03-07 07:01:00	2
1998-03-07 07:02:00	2
1998-03-07 07:03:00	2
1998-03-07 07:04:00	2
1998-03-07 07:05:00	3
1998-03-07 07:06:00	3
1998-03-07 07:07:00	3
1998-03-07 07:08:00	3
1998-03-07 07:09:00	3
1998-03-07 07:10:00	3
1998-03-07 07:11:00	2
1998-03-07 07:12:00	2
1998-03-07 07:13:00	2
1998-03-07 07:14:00	2
1998-03-07 07:15:00	3
1998-03-07 07:20:00	3
1998-03-07 07:25:00	3
1998-03-07 07:30:00	2
1998-03-07 07:40:00	2
1998-03-07 07:50:00	0
1998-03-07 08:01:00	2
1998-03-07 08:02:00	2
1998-03-07 08:03:00	2
1998-03-07 08:04:00	2
1998-03-07 08:05:00	3
1998-03-07 08:06:00	3
1998-03-07 08:07:00	3
1998-03-07 08:08:00	3
1998-03-07 08:09:00	3
1998-03-07 08:10:00	3
1998-03-07 08:11:00	2
1998-03-07 08:12:00	2
1998-03-07 08:13:00	2
1998-03-07 08:14:00	2
1998-03-07 08:15:00	3
1998-03-07 08:20:00	3
1998-03-07 08:25:00	3
1998-03-07 08:30:00	2
1998-03-07 08:40:00	2
1998-03-07 08:45:00	5
1998-03-07 08:50:00	0
